"Title","Price","Category","Rating","ReviewCount","Description"
"1. Check each product page for other buying options. Price and other details may vary based on product size and color.","$44.39","Shoes",4.4,"13,479","Check each product page for other buying options. Price and other details may vary based on product size and color."
"2. Amazon Essentials Women's Lace-Up Combat Boot","$70.00","Shoes",4.3,"521","Amazon Essentials Women's Lace-Up Combat Boot"
"3. adidas Men's Lite Racer Adapt 7.0 Sneaker","$45.50","Shoes",4.4,"1,760","adidas Men's Lite Racer Adapt 7.0 Sneaker"
"4. Under Armour Men's Charged Surge 4 Sneaker","$65.00","Shoes",4.5,"9,070","Under Armour Men's Charged Surge 4 Sneaker"
"5. Under Armour Men's Charged Assert 10","$38.99","Shoes",4.6,"8,057","Under Armour Men's Charged Assert 10"
"6. Skechers Men's Summits High Range Hands Free Slip-in","$75.00","Shoes",4.6,"14,335","Skechers Men's Summits High Range Hands Free Slip-in"
"7. Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","$61.35","Shoes",4.6,"545","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes"
"8. adidas Men's Daily 4.0 Shoes","$75.00","Shoes",4.5,"1,875","adidas Men's Daily 4.0 Shoes"
"9. adidas Women's Vl Court 3.0","$42.99","Shoes",4.5,"807","adidas Women's Vl Court 3.0"
"10. adidas Men's X_PLR Path Sneaker","$48.99","Shoes",4.6,"243","adidas Men's X_PLR Path Sneaker"
"11. Under Armour Boys' Grade School Surge 4 Running Shoe","$43.74","Shoes",4.7,"4,751","Under Armour Boys' Grade School Surge 4 Running Shoe"
"12. adidas Men's Grand Court 2.0","$65.00","Shoes",4.5,"21,580","adidas Men's Grand Court 2.0"
"13. Skechers Women's Summits Quick Getaway Slip-On Sneaker","$55.57","Shoes",4.7,"1,470","Skechers Women's Summits Quick Getaway Slip-On Sneaker"
"14. HEYDUDE Wally Amazon Exclusive Styles, Men's Shoes, Men's Slip-on Loafers, Comfortable & Light-Weight","$75.00","Shoes",4.7,"16,002","HEYDUDE Wally Amazon Exclusive Styles, Men's Shoes, Men's Slip-on Loafers, Comfortable & Light-Weight"
"15. adidas Men's Daily 3.0 Sneaker","$32.49","Shoes",4.4,"20,637","adidas Men's Daily 3.0 Sneaker"
"16. Reebok Men's BB4500 Hi 2 Sneaker","$65.00","Shoes",4.6,"1,401","Reebok Men's BB4500 Hi 2 Sneaker"
"17. Skechers Men's Garza Gervin Slip in","$38.50","Shoes",4.6,"50,989","Skechers Men's Garza Gervin Slip in"
"18. Under Armour Men's Charged Assert 9 Running Shoe","$55.00","Shoes",4.2,"648","Under Armour Men's Charged Assert 9 Running Shoe"
"19. Men's Slip On Running Shoes Fashion Walking Sneakers Mesh Soft Sole Loafers Comfortable & Light-Weight Tennis Work Trainers","$52.50","Shoes",4.2,"873","Men's Slip On Running Shoes Fashion Walking Sneakers Mesh Soft Sole Loafers Comfortable & Light-Weight Tennis Work Trainers"
"20. Mevlzz Mens Running Shoes Slip on Tennis Walking Sneakers Casual Mesh Breathable Lightweight Work Sport Shoes","$70.00","Shoes",4.6,"369","Mevlzz Mens Running Shoes Slip on Tennis Walking Sneakers Casual Mesh Breathable Lightweight Work Sport Shoes"
